ts_event,ts_recv,r_type,publisher,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,order_id,bid_px_00,bid_sz_00,bid_ct_00,ask_px_00,ask_sz_00,ask_ct_00,bid_px_01,bid_sz_01,bid_ct_01,ask_px_01,ask_sz_01,ask_ct_01,bid_px_02,bid_sz_02,bid_ct_02,ask_px_02,ask_sz_02,ask_ct_02,bid_px_03,bid_sz_03,bid_ct_03,ask_px_03,ask_sz_03,ask_ct_03,bid_px_04,bid_sz_04,bid_ct_04,ask_px_04,ask_sz_04,ask_ct_04,bid_px_05,bid_sz_05,bid_ct_05,ask_px_05,ask_sz_05,ask_ct_05,bid_px_06,bid_sz_06,bid_ct_06,ask_px_06,ask_sz_06,ask_ct_06,bid_px_07,bid_sz_07,bid_ct_07,ask_px_07,ask_sz_07,ask_ct_07,bid_px_08,bid_sz_08,bid_ct_08,ask_px_08,ask_sz_08,ask_ct_08,bid_px_09,bid_sz_09,bid_ct_09,ask_px_09,ask_sz_09,ask_ct_09
2025-07-17T16:12:53.033137644Z,2025-07-17T16:12:53.033302848Z,160,2,1108,C,A,0,14.47,700,130,165204,282194349,ARL,338864173,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,14,100,1,12.86,100,1,14.25,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.033153612Z,2025-07-17T16:12:53.033318818Z,160,2,1108,A,A,0,14.04,100,130,165206,282194350,ARL,339096893,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.4,200,2,12.46,100,1,14.48,700,1,12.43,700,1,14.54,700,1,12.42,700,1,14.55,100,1
2025-07-17T16:12:53.033183560Z,2025-07-17T16:12:53.033349323Z,160,2,1108,A,A,0,14.68,700,130,165763,282194351,ARL,339096897,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.4,200,2,12.46,100,1,14.48,700,1,12.43,700,1,14.54,700,1,12.42,700,1,14.55,100,1
2025-07-17T16:12:53.033596046Z,2025-07-17T16:12:53.033762072Z,160,2,1108,C,A,0,13.74,2,0,166026,282194354,ARL,338371797,13.11,100,1,13.46,15,1,12.98,200,2,14,100,1,12.92,2,1,14.04,100,1,12.86,100,1,14.25,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.033596046Z,2025-07-17T16:12:53.033762072Z,160,2,1108,A,A,0,13.98,2,130,166026,282194354,ARL,339096909,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.4,200,2,12.46,100,1,14.48,700,1,12.43,700,1,14.54,700,1,12.42,700,1,14.55,100,1
2025-07-17T16:12:53.033835120Z,2025-07-17T16:12:53.034000646Z,160,2,1108,C,A,0,14.25,100,130,165526,282194360,ARL,336161365,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.033977054Z,2025-07-17T16:12:53.034142471Z,160,2,1108,C,A,0,14.73,100,0,165417,282194361,ARL,339096797,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.033977054Z,2025-07-17T16:12:53.034142471Z,160,2,1108,A,A,0,14.96,100,130,165417,282194361,ARL,339096917,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.034012618Z,2025-07-17T16:12:53.034178176Z,160,2,1108,C,A,0,15.83,100,0,165558,282194362,ARL,339096837,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.034012618Z,2025-07-17T16:12:53.034178176Z,160,2,1108,A,A,0,16.08,100,130,165558,282194362,ARL,339096921,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.034187864Z,2025-07-17T16:12:53.034353140Z,160,2,1108,A,A,0,14.6,100,130,165276,282194365,ARL,339096925,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.035246187Z,2025-07-17T16:12:53.035411748Z,160,2,1108,C,A,0,15.05,100,0,165561,282194373,ARL,335220549,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.035246187Z,2025-07-17T16:12:53.035411748Z,160,2,1108,A,A,0,15.38,100,130,165561,282194373,ARL,339096929,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.036142164Z,2025-07-17T16:12:53.036307382Z,160,2,1108,C,A,0,17.48,100,0,165218,282194381,ARL,339096809,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.036142164Z,2025-07-17T16:12:53.036307382Z,160,2,1108,A,A,0,17.76,100,130,165218,282194381,ARL,339096949,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.039879965Z,2025-07-17T16:12:53.040045217Z,160,2,1108,C,A,0,14.73,100,0,165252,282194416,ARL,339096817,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.039879965Z,2025-07-17T16:12:53.040045217Z,160,2,1108,A,A,0,14.96,100,130,165252,282194416,ARL,339096977,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.04,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.48,700,1,12.46,100,1,14.54,700,1,12.43,700,1,14.55,100,1,12.42,700,1,14.56,700,1
2025-07-17T16:12:53.043562198Z,2025-07-17T16:12:53.043727225Z,160,2,1108,C,A,0,14.04,100,130,165027,282194436,ARL,339096893,13.11,100,1,13.46,15,1,12.98,200,2,13.98,2,1,12.92,2,1,14,100,1,12.86,100,1,14.27,100,1,12.73,100,1,14.4,200,2,12.71,100,1,14.48,700,1,12.5,700,1,14.54,700,1,12.46,100,1,14.55,100,1,12.43,700,1,14.56,700,1,12.42,700,1,14.6,100,1
